type time node value
residual 1655502000000 0 23.716666667 
voltage 1655502000000 0 2.954552500 
voltage_min 1655502000000 0 2.517800000 
voltage_max 1655502000000 0 2.987398333 
residual 1685602000000 0 23.693333333 
voltage 1685602000000 0 2.954384283 
voltage_min 1685602000000 0 2.518500000 
voltage_max 1685602000000 0 2.987165000 
residual 1715702000000 0 23.670000000 
voltage 1715702000000 0 2.954216066 
voltage_min 1715702000000 0 2.519200000 
voltage_max 1715702000000 0 2.986931667 
residual 1745802000000 0 23.646666667 
voltage 1745802000000 0 2.954047849 
voltage_min 1745802000000 0 2.519900000 
voltage_max 1745802000000 0 2.986698333 
residual 1775902000000 0 23.623333333 
voltage 1775902000000 0 2.953879632 
voltage_min 1775902000000 0 2.520600000 
voltage_max 1775902000000 0 2.986465000 
residual 1806002000000 0 23.600000000 
voltage 1806002000000 0 2.953711415 
voltage_min 1806002000000 0 2.521300000 
voltage_max 1806002000000 0 2.986231667 
residual 1836102000000 0 23.576666667 
voltage 1836102000000 0 2.953543198 
voltage_min 1836102000000 0 2.522000000 
voltage_max 1836102000000 0 2.985998333 
residual 1866202000000 0 23.553333333 
voltage 1866202000000 0 2.953374981 
voltage_min 1866202000000 0 2.522700000 
voltage_max 1866202000000 0 2.985765000 
residual 1896302000000 0 23.530000000 
voltage 1896302000000 0 2.953206764 
voltage_min 1896302000000 0 2.523400000 
voltage_max 1896302000000 0 2.985531667 
residual 1926402000000 0 23.506666667 
voltage 1926402000000 0 2.953038547 
voltage_min 1926402000000 0 2.524100000 
voltage_max 1926402000000 0 2.985298333 
residual 1956502000000 0 23.483333333 
voltage 1956502000000 0 2.952870329 
voltage_min 1956502000000 0 2.524800000 
voltage_max 1956502000000 0 2.985065000 
residual 1986602000000 0 23.460000000 
voltage 1986602000000 0 2.952702112 
voltage_min 1986602000000 0 2.525500000 
voltage_max 1986602000000 0 2.984831667 
residual 2016702000000 0 23.436666667 
voltage 2016702000000 0 2.952533895 
voltage_min 2016702000000 0 2.526200000 
voltage_max 2016702000000 0 2.984598333 
residual 2046802000000 0 23.413333333 
voltage 2046802000000 0 2.952365678 
voltage_min 2046802000000 0 2.526900000 
voltage_max 2046802000000 0 2.984365000 
residual 2076902000000 0 23.390000000 
voltage 2076902000000 0 2.952197461 
voltage_min 2076902000000 0 2.527600000 
voltage_max 2076902000000 0 2.984131667 
residual 2107002000000 0 23.366666667 
voltage 2107002000000 0 2.952029244 
voltage_min 2107002000000 0 2.528300000 
voltage_max 2107002000000 0 2.983898333 
residual 2137102000000 0 23.343333333 
voltage 2137102000000 0 2.951861027 
voltage_min 2137102000000 0 2.529000000 
voltage_max 2137102000000 0 2.983665000 
residual 2167202000000 0 23.320000000 
voltage 2167202000000 0 2.951692810 
voltage_min 2167202000000 0 2.529700000 
voltage_max 2167202000000 0 2.983431667 
residual 2197302000000 0 23.296666667 
voltage 2197302000000 0 2.951524593 
voltage_min 2197302000000 0 2.530400000 
voltage_max 2197302000000 0 2.983198333 
residual 2227402000000 0 23.273333333 
voltage 2227402000000 0 2.951356376 
voltage_min 2227402000000 0 2.531100000 
voltage_max 2227402000000 0 2.982965000 
residual 2257502000000 0 23.250000000 
voltage 2257502000000 0 2.951188159 
voltage_min 2257502000000 0 2.531800000 
voltage_max 2257502000000 0 2.982731667 
residual 2287602000000 0 23.226666667 
voltage 2287602000000 0 2.951019942 
voltage_min 2287602000000 0 2.532500000 
voltage_max 2287602000000 0 2.982498333 
residual 2317702000000 0 23.203333333 
voltage 2317702000000 0 2.950851725 
voltage_min 2317702000000 0 2.533200000 
voltage_max 2317702000000 0 2.982265000 
residual 2347802000000 0 23.180000000 
voltage 2347802000000 0 2.950683508 
voltage_min 2347802000000 0 2.533900000 
voltage_max 2347802000000 0 2.982031667 
residual 2377902000000 0 23.156666667 
voltage 2377902000000 0 2.950515291 
voltage_min 2377902000000 0 2.534600000 
voltage_max 2377902000000 0 2.981798333 
residual 2408002000000 0 23.133333333 
voltage 2408002000000 0 2.950347074 
voltage_min 2408002000000 0 2.535300000 
voltage_max 2408002000000 0 2.981565000 
residual 2438102000000 0 23.110000000 
voltage 2438102000000 0 2.950178857 
voltage_min 2438102000000 0 2.536000000 
voltage_max 2438102000000 0 2.981331667 
residual 2468202000000 0 23.086666667 
voltage 2468202000000 0 2.950010640 
voltage_min 2468202000000 0 2.536700000 
voltage_max 2468202000000 0 2.981098333 
residual 2498302000000 0 23.063333333 
voltage 2498302000000 0 2.949842422 
voltage_min 2498302000000 0 2.537400000 
voltage_max 2498302000000 0 2.980865000 
residual 2528402000000 0 23.040000000 
voltage 2528402000000 0 2.949674205 
voltage_min 2528402000000 0 2.538100000 
voltage_max 2528402000000 0 2.980631667 
residual 2558502000000 0 23.016666667 
voltage 2558502000000 0 2.949505988 
voltage_min 2558502000000 0 2.538800000 
voltage_max 2558502000000 0 2.980398333 
residual 2588602000000 0 22.993333333 
voltage 2588602000000 0 2.949337771 
voltage_min 2588602000000 0 2.539500000 
voltage_max 2588602000000 0 2.980165000 
residual 2618702000000 0 22.970000000 
voltage 2618702000000 0 2.949169554 
voltage_min 2618702000000 0 2.540200000 
voltage_max 2618702000000 0 2.979931667 
residual 2648802000000 0 22.946666667 
voltage 2648802000000 0 2.949001337 
voltage_min 2648802000000 0 2.540900000 
voltage_max 2648802000000 0 2.979698333 
residual 2678902000000 0 22.923333333 
voltage 2678902000000 0 2.948833120 
voltage_min 2678902000000 0 2.541600000 
voltage_max 2678902000000 0 2.979465000 
residual 2709002000000 0 22.900000000 
voltage 2709002000000 0 2.948664903 
voltage_min 2709002000000 0 2.542300000 
voltage_max 2709002000000 0 2.979231667 
residual 2739102000000 0 22.876666667 
voltage 2739102000000 0 2.948496686 
voltage_min 2739102000000 0 2.543000000 
voltage_max 2739102000000 0 2.978998333 
residual 2769202000000 0 22.853333333 
voltage 2769202000000 0 2.948328469 
voltage_min 2769202000000 0 2.543700000 
voltage_max 2769202000000 0 2.978765000 
residual 2799302000000 0 22.830000000 
voltage 2799302000000 0 2.948160252 
voltage_min 2799302000000 0 2.544400000 
voltage_max 2799302000000 0 2.978531667 
residual 2829402000000 0 22.806666667 
voltage 2829402000000 0 2.947992035 
voltage_min 2829402000000 0 2.545100000 
voltage_max 2829402000000 0 2.978298333 
residual 2859502000000 0 22.783333333 
voltage 2859502000000 0 2.947823818 
voltage_min 2859502000000 0 2.545800000 
voltage_max 2859502000000 0 2.978065000 
residual 2889602000000 0 22.760000000 
voltage 2889602000000 0 2.947655601 
voltage_min 2889602000000 0 2.546500000 
voltage_max 2889602000000 0 2.977831667 
residual 2919702000000 0 22.736666667 
voltage 2919702000000 0 2.947487384 
voltage_min 2919702000000 0 2.547200000 
voltage_max 2919702000000 0 2.977598333 
residual 2949802000000 0 22.713333333 
voltage 2949802000000 0 2.947319167 
voltage_min 2949802000000 0 2.547900000 
voltage_max 2949802000000 0 2.977365000 
residual 2979902000000 0 22.690000000 
voltage 2979902000000 0 2.947150950 
voltage_min 2979902000000 0 2.548600000 
voltage_max 2979902000000 0 2.977131667 
residual 3010002000000 0 22.666666667 
voltage 3010002000000 0 2.946982733 
voltage_min 3010002000000 0 2.549300000 
voltage_max 3010002000000 0 2.976898333 
residual 3040102000000 0 22.643333333 
voltage 3040102000000 0 2.946814516 
voltage_min 3040102000000 0 2.550000000 
voltage_max 3040102000000 0 2.976665000 
residual 3070202000000 0 22.620000000 
voltage 3070202000000 0 2.946646298 
voltage_min 3070202000000 0 2.550700000 
voltage_max 3070202000000 0 2.976431667 
residual 3100302000000 0 22.596666667 
voltage 3100302000000 0 2.946478081 
voltage_min 3100302000000 0 2.551400000 
voltage_max 3100302000000 0 2.976198333 
residual 3130402000000 0 22.573333333 
voltage 3130402000000 0 2.946309864 
voltage_min 3130402000000 0 2.552100000 
voltage_max 3130402000000 0 2.975965000 
residual 3160502000000 0 22.550000000 
voltage 3160502000000 0 2.946141647 
voltage_min 3160502000000 0 2.552800000 
voltage_max 3160502000000 0 2.975731667 
residual 3190602000000 0 22.526666667 
voltage 3190602000000 0 2.945973430 
voltage_min 3190602000000 0 2.553500000 
voltage_max 3190602000000 0 2.975498333 
residual 3220702000000 0 22.503333333 
voltage 3220702000000 0 2.945805213 
voltage_min 3220702000000 0 2.554200000 
voltage_max 3220702000000 0 2.975265000 
residual 3250802000000 0 22.480000000 
voltage 3250802000000 0 2.945636996 
voltage_min 3250802000000 0 2.554900000 
voltage_max 3250802000000 0 2.975031667 
residual 3280902000000 0 22.456666667 
voltage 3280902000000 0 2.945468779 
voltage_min 3280902000000 0 2.555600000 
voltage_max 3280902000000 0 2.974798333 
residual 3311002000000 0 22.433333333 
voltage 3311002000000 0 2.945300562 
voltage_min 3311002000000 0 2.556300000 
voltage_max 3311002000000 0 2.974565000 
residual 3341102000000 0 22.410000000 
voltage 3341102000000 0 2.945132345 
voltage_min 3341102000000 0 2.557000000 
voltage_max 3341102000000 0 2.974331667 
residual 3371202000000 0 22.386666667 
voltage 3371202000000 0 2.944964128 
voltage_min 3371202000000 0 2.557700000 
voltage_max 3371202000000 0 2.974098333 
residual 3401302000000 0 22.363333333 
voltage 3401302000000 0 2.944795911 
voltage_min 3401302000000 0 2.558400000 
voltage_max 3401302000000 0 2.973865000 
residual 3431402000000 0 22.340000000 
voltage 3431402000000 0 2.944627694 
voltage_min 3431402000000 0 2.559100000 
voltage_max 3431402000000 0 2.973631667 
residual 3461502000000 0 22.316666667 
voltage 3461502000000 0 2.944459477 
voltage_min 3461502000000 0 2.559800000 
voltage_max 3461502000000 0 2.973398333 
residual 3491602000000 0 22.293333333 
voltage 3491602000000 0 2.944291260 
voltage_min 3491602000000 0 2.560500000 
voltage_max 3491602000000 0 2.973165000 
residual 3521702000000 0 22.270000000 
voltage 3521702000000 0 2.944123043 
voltage_min 3521702000000 0 2.561200000 
voltage_max 3521702000000 0 2.972931667 
residual 3551802000000 0 22.246666667 
voltage 3551802000000 0 2.943954826 
voltage_min 3551802000000 0 2.561900000 
voltage_max 3551802000000 0 2.972698333 
residual 3581902000000 0 22.223333333 
voltage 3581902000000 0 2.943786609 
voltage_min 3581902000000 0 2.562600000 
voltage_max 3581902000000 0 2.972465000 
residual 3612002000000 0 22.200000000 
voltage 3612002000000 0 2.943618391 
voltage_min 3612002000000 0 2.563300000 
voltage_max 3612002000000 0 2.972231667 
residual 3642102000000 0 22.176666667 
voltage 3642102000000 0 2.943450174 
voltage_min 3642102000000 0 2.564000000 
voltage_max 3642102000000 0 2.971998333 
residual 3672202000000 0 22.153333333 
voltage 3672202000000 0 2.943281957 
voltage_min 3672202000000 0 2.564700000 
voltage_max 3672202000000 0 2.971765000 
residual 3702302000000 0 22.130000000 
voltage 3702302000000 0 2.943113740 
voltage_min 3702302000000 0 2.565400000 
voltage_max 3702302000000 0 2.971531667 
residual 3732402000000 0 22.106666667 
voltage 3732402000000 0 2.942945523 
voltage_min 3732402000000 0 2.566100000 
voltage_max 3732402000000 0 2.971298333 
residual 3762502000000 0 22.083333333 
voltage 3762502000000 0 2.942777306 
voltage_min 3762502000000 0 2.566800000 
voltage_max 3762502000000 0 2.971065000 
residual 3792602000000 0 22.060000000 
voltage 3792602000000 0 2.942609089 
voltage_min 3792602000000 0 2.567500000 
voltage_max 3792602000000 0 2.970831667 
residual 3822702000000 0 22.036666667 
voltage 3822702000000 0 2.942440872 
voltage_min 3822702000000 0 2.568200000 
voltage_max 3822702000000 0 2.970598333 
residual 3852802000000 0 22.013333333 
voltage 3852802000000 0 2.942272655 
voltage_min 3852802000000 0 2.568900000 
voltage_max 3852802000000 0 2.970365000 
residual 3882902000000 0 21.990000000 
voltage 3882902000000 0 2.942104438 
voltage_min 3882902000000 0 2.569600000 
voltage_max 3882902000000 0 2.970131667 
residual 3913002000000 0 21.966666667 
voltage 3913002000000 0 2.941936221 
voltage_min 3913002000000 0 2.570300000 
voltage_max 3913002000000 0 2.969898333 
residual 3943102000000 0 21.943333333 
voltage 3943102000000 0 2.941768004 
voltage_min 3943102000000 0 2.571000000 
voltage_max 3943102000000 0 2.969665000 
residual 3973202000000 0 21.920000000 
voltage 3973202000000 0 2.941599787 
voltage_min 3973202000000 0 2.571700000 
voltage_max 3973202000000 0 2.969431667 
residual 4003302000000 0 21.896666667 
voltage 4003302000000 0 2.941431570 
voltage_min 4003302000000 0 2.572400000 
voltage_max 4003302000000 0 2.969198333 
residual 4033402000000 0 21.873333333 
voltage 4033402000000 0 2.941263353 
voltage_min 4033402000000 0 2.573100000 
voltage_max 4033402000000 0 2.968965000 
residual 4063502000000 0 21.850000000 
voltage 4063502000000 0 2.941095136 
voltage_min 4063502000000 0 2.573800000 
voltage_max 4063502000000 0 2.968731667 
residual 4093602000000 0 21.826666667 
voltage 4093602000000 0 2.940926919 
voltage_min 4093602000000 0 2.574500000 
voltage_max 4093602000000 0 2.968498333 
residual 4123702000000 0 21.803333333 
voltage 4123702000000 0 2.940758702 
voltage_min 4123702000000 0 2.575200000 
voltage_max 4123702000000 0 2.968265000 
residual 4153802000000 0 21.780000000 
voltage 4153802000000 0 2.940590484 
voltage_min 4153802000000 0 2.575900000 
voltage_max 4153802000000 0 2.968031667 
residual 4183902000000 0 21.756666667 
voltage 4183902000000 0 2.940422267 
voltage_min 4183902000000 0 2.576600000 
voltage_max 4183902000000 0 2.967798333 
residual 4214002000000 0 21.733333333 
voltage 4214002000000 0 2.940254050 
voltage_min 4214002000000 0 2.577300000 
voltage_max 4214002000000 0 2.967565000 
residual 4244102000000 0 21.710000000 
voltage 4244102000000 0 2.940085833 
voltage_min 4244102000000 0 2.578000000 
voltage_max 4244102000000 0 2.967331667 
residual 4274202000000 0 21.686666667 
voltage 4274202000000 0 2.939917616 
voltage_min 4274202000000 0 2.578700000 
voltage_max 4274202000000 0 2.967098333 
residual 4304302000000 0 21.663333333 
voltage 4304302000000 0 2.939749399 
voltage_min 4304302000000 0 2.579400000 
voltage_max 4304302000000 0 2.966865000 
residual 4334402000000 0 21.640000000 
voltage 4334402000000 0 2.939581182 
voltage_min 4334402000000 0 2.580100000 
voltage_max 4334402000000 0 2.966631667 
residual 4364502000000 0 21.616666667 
voltage 4364502000000 0 2.939412965 
voltage_min 4364502000000 0 2.580800000 
voltage_max 4364502000000 0 2.966398333 
residual 4394602000000 0 21.593333333 
voltage 4394602000000 0 2.939244748 
voltage_min 4394602000000 0 2.581500000 
voltage_max 4394602000000 0 2.966165000 
residual 4424702000000 0 21.570000000 
voltage 4424702000000 0 2.939076531 
voltage_min 4424702000000 0 2.582200000 
voltage_max 4424702000000 0 2.965931667 
residual 4454802000000 0 21.546666667 
voltage 4454802000000 0 2.938908314 
voltage_min 4454802000000 0 2.582900000 
voltage_max 4454802000000 0 2.965698333 
residual 4484902000000 0 21.523333333 
voltage 4484902000000 0 2.938740097 
voltage_min 4484902000000 0 2.583600000 
voltage_max 4484902000000 0 2.965465000 
residual 4515002000000 0 21.500000000 
voltage 4515002000000 0 2.938571880 
voltage_min 4515002000000 0 2.584300000 
voltage_max 4515002000000 0 2.965231667 
residual 4545102000000 0 21.476666667 
voltage 4545102000000 0 2.938403663 
voltage_min 4545102000000 0 2.585000000 
voltage_max 4545102000000 0 2.964998333 
residual 4575202000000 0 21.453333333 
voltage 4575202000000 0 2.938235446 
voltage_min 4575202000000 0 2.585700000 
voltage_max 4575202000000 0 2.964765000 
residual 4605302000000 0 21.430000000 
voltage 4605302000000 0 2.938067229 
voltage_min 4605302000000 0 2.586400000 
voltage_max 4605302000000 0 2.964531667 
residual 4635402000000 0 21.406666667 
voltage 4635402000000 0 2.937899012 
voltage_min 4635402000000 0 2.587100000 
voltage_max 4635402000000 0 2.964298333 
residual 4665502000000 0 21.383333333 
voltage 4665502000000 0 2.937730795 
voltage_min 4665502000000 0 2.587800000 
voltage_max 4665502000000 0 2.964065000 
residual 4695602000000 0 21.360000000 
voltage 4695602000000 0 2.937562578 
voltage_min 4695602000000 0 2.588500000 
voltage_max 4695602000000 0 2.963831667 
residual 4725702000000 0 21.336666667 
voltage 4725702000000 0 2.937394360 
voltage_min 4725702000000 0 2.589200000 
voltage_max 4725702000000 0 2.963598333 
residual 4755802000000 0 21.313333333 
voltage 4755802000000 0 2.937226143 
voltage_min 4755802000000 0 2.589900000 
voltage_max 4755802000000 0 2.963365000 
residual 4785902000000 0 21.290000000 
voltage 4785902000000 0 2.937057926 
voltage_min 4785902000000 0 2.590600000 
voltage_max 4785902000000 0 2.963131667 
residual 4816002000000 0 21.266666667 
voltage 4816002000000 0 2.936889709 
voltage_min 4816002000000 0 2.591300000 
voltage_max 4816002000000 0 2.962898333 
residual 4846102000000 0 21.243333333 
voltage 4846102000000 0 2.936721492 
voltage_min 4846102000000 0 2.592000000 
voltage_max 4846102000000 0 2.962665000 
residual 4876202000000 0 21.220000000 
voltage 4876202000000 0 2.936553275 
voltage_min 4876202000000 0 2.592700000 
voltage_max 4876202000000 0 2.962431667 
residual 4906302000000 0 21.196666667 
voltage 4906302000000 0 2.936385058 
voltage_min 4906302000000 0 2.593400000 
voltage_max 4906302000000 0 2.962198333 
residual 4936402000000 0 21.173333333 
voltage 4936402000000 0 2.936216841 
voltage_min 4936402000000 0 2.594100000 
voltage_max 4936402000000 0 2.961965000 
residual 4966502000000 0 21.150000000 
voltage 4966502000000 0 2.936048624 
voltage_min 4966502000000 0 2.594800000 
voltage_max 4966502000000 0 2.961731667 
residual 4996602000000 0 21.126666667 
voltage 4996602000000 0 2.935880407 
voltage_min 4996602000000 0 2.595500000 
voltage_max 4996602000000 0 2.961498333 
residual 5026702000000 0 21.103333333 
voltage 5026702000000 0 2.935712190 
voltage_min 5026702000000 0 2.596200000 
voltage_max 5026702000000 0 2.961265000 
residual 5056802000000 0 21.080000000 
voltage 5056802000000 0 2.935543973 
voltage_min 5056802000000 0 2.596900000 
voltage_max 5056802000000 0 2.961031667 
residual 5086902000000 0 21.056666667 
voltage 5086902000000 0 2.935375756 
voltage_min 5086902000000 0 2.597600000 
voltage_max 5086902000000 0 2.960798333 
residual 5117002000000 0 21.033333333 
voltage 5117002000000 0 2.935207539 
voltage_min 5117002000000 0 2.598300000 
voltage_max 5117002000000 0 2.960565000 
residual 5147102000000 0 21.010000000 
voltage 5147102000000 0 2.935039322 
voltage_min 5147102000000 0 2.599000000 
voltage_max 5147102000000 0 2.960331667 
residual 5177202000000 0 20.986666667 
voltage 5177202000000 0 2.934860341 
voltage_min 5177202000000 0 2.599700000 
voltage_max 5177202000000 0 2.960098333 
residual 5207302000000 0 20.963333333 
voltage 5207302000000 0 2.934632888 
voltage_min 5207302000000 0 2.599633333 
voltage_max 5207302000000 0 2.959865000 
residual 5237402000000 0 20.940000000 
voltage 5237402000000 0 2.934399554 
voltage_min 5237402000000 0 2.599400000 
voltage_max 5237402000000 0 2.959631667 
residual 5267502000000 0 20.916666667 
voltage 5267502000000 0 2.934166221 
voltage_min 5267502000000 0 2.599166667 
voltage_max 5267502000000 0 2.959398333 
residual 5297602000000 0 20.893333333 
voltage 5297602000000 0 2.933932888 
voltage_min 5297602000000 0 2.598933333 
voltage_max 5297602000000 0 2.959165000 
residual 5327702000000 0 20.870000000 
voltage 5327702000000 0 2.933699554 
voltage_min 5327702000000 0 2.598700000 
voltage_max 5327702000000 0 2.958931667 
residual 5357802000000 0 20.846666667 
voltage 5357802000000 0 2.933466221 
voltage_min 5357802000000 0 2.598466667 
voltage_max 5357802000000 0 2.958698333 
